Code point,Rank 1,Rank 2,Unicode name,C47 usage,Glyph,Glyph,Replacement code point,Replacement,,Comments
U+00e5,66,83,LATIN SMALL LETTER A WITH RING ABOVE,a ring,å,å,U+0041,A,,
U+00e6,66,85,LATIN SMALL LETTER AE,ae,æ,æ,U+0041,A,,
U+00e7,98,105,LATIN SMALL LETTER C WITH CEDILLA,c cedilla,ç,ç,U+0043,C,,
U+00e8,126,133,LATIN SMALL LETTER E WITH GRAVE,e grave,è,è,U+0045,E,,
U+00e9,126,135,LATIN SMALL LETTER E WITH ACUTE,e accute,é,é,U+0045,E,,
U+00ea,126,137,LATIN SMALL LETTER E WITH CIRCUMFLEX,e circumflex,ê,ê,U+0045,E,,
U+00eb,126,139,LATIN SMALL LETTER E WITH DIAERESIS,e diaresis,ë,ë,U+0045,E,,
U+00ec,181,188,LATIN SMALL LETTER I WITH GRAVE,i grave,ì,ì,U+0049,I,,
U+00ed,181,190,LATIN SMALL LETTER I WITH ACUTE,i accute,í,í,U+0049,I,,
U+00ee,181,192,LATIN SMALL LETTER I WITH CIRCUMFLEX,i circumflex,î,î,U+0049,I,,
U+00ef,181,194,LATIN SMALL LETTER I WITH DIAERESIS,i diaresis,ï,ï,U+0049,I,,
U+00f0,113,120,LATIN SMALL LETTER ETH,eth,ð,ð,U+0044,D,,
U+00f1,239,246,LATIN SMALL LETTER N WITH TILDE,n tilde,ñ,ñ,U+004E,N,,
U+00f2,253,261,LATIN SMALL LETTER O WITH GRAVE,o grave,ò,ò,U+004f,O,,
U+00f3,253,263,LATIN SMALL LETTER O WITH ACUTE,o accute,ó,ó,U+004f,O,,
U+00f4,253,265,LATIN SMALL LETTER O WITH CIRCUMFLEX,o circumflex,ô,ô,U+004f,O,,
U+00f5,253,267,LATIN SMALL LETTER O WITH TILDE,o tilde,õ,õ,U+004f,O,,
U+00f6,253,269,LATIN SMALL LETTER O WITH DIAERESIS,o diaresis,ö,ö,U+004f,O,,
U+00f7,540,542,DIVISION SIGN,Obelus,÷,÷,U+003a,:,,
U+00f8,253,271,LATIN SMALL LETTER O WITH STROKE,o stroke,ø,ø,U+004f,O,,
U+00f9,330,337,LATIN SMALL LETTER U WITH GRAVE,u grave,ù,ù,U+0055,U,,
U+00fa,330,339,LATIN SMALL LETTER U WITH ACUTE,u accute,ú,ú,U+0055,U,,
U+00fb,330,341,LATIN SMALL LETTER U WITH CIRCUMFLEX,u circumflex,û,û,U+0055,U,,
U+00fc,330,343,LATIN SMALL LETTER U WITH DIAERESIS,u diaresis,ü,ü,U+0055,U,,
U+00fd,384,391,LATIN SMALL LETTER Y WITH ACUTE,y accute,ý,ý,U+0059,Y,,
U+00ff,384,395,LATIN SMALL LETTER Y WITH DIAERESIS,y diaresis,ÿ,ÿ,U+0059,Y,,
U+0101,66,87,LATIN SMALL LETTER A WITH MACRON,a macron,ā,ā,U+0041,A,,
U+0102,66,88,LATIN CAPITAL LETTER A WITH BREVE,A breve,Ă,Ă,U+0041,A,,
U+0103,66,89,LATIN SMALL LETTER A WITH BREVE,a breve,ă,ă,U+0041,A,,
U+0104,66,90,LATIN CAPITAL LETTER A WITH OGONEK,A ogonek,Ą,Ą,U+0041,A,,
U+0105,66,91,LATIN SMALL LETTER A WITH OGONEK,a ogonek,ą,ą,U+0041,A,,
U+0106,98,106,LATIN CAPITAL LETTER C WITH ACUTE,C accute,Ć,Ć,U+0043,C,,
U+0107,98,107,LATIN SMALL LETTER C WITH ACUTE,c accute,ć,ć,U+0043,C,,
U+010c,98,108,LATIN CAPITAL LETTER C WITH CARON,C caron,Č,Č,U+0043,C,,
U+010d,98,109,LATIN SMALL LETTER C WITH CARON,c caron,č,č,U+0043,C,,
U+010e,113,121,LATIN CAPITAL LETTER D WITH CARON,D caron,Ď,Ď,U+0044,D,,
U+010f,113,122,LATIN SMALL LETTER D WITH CARON,d apostrophe,ď,ď,U+0044,D,,
U+0110,113,123,LATIN CAPITAL LETTER D WITH STROKE,D stroke,Đ,Đ,U+0044,D,,
U+0111,113,124,LATIN SMALL LETTER D WITH STROKE,d stroke,đ,đ,U+0044,D,,
U+0112,126,140,LATIN CAPITAL LETTER E WITH MACRON,E macron,Ē,Ē,U+0045,E,,
U+0113,126,141,LATIN SMALL LETTER E WITH MACRON,e macron,ē,ē,U+0045,E,,
U+0114,126,142,LATIN CAPITAL LETTER E WITH BREVE,E breve,Ĕ,Ĕ,U+0045,E,,
U+0115,126,143,LATIN SMALL LETTER E WITH BREVE,e breve,ĕ,ĕ,U+0045,E,,
U+0116,126,144,LATIN CAPITAL LETTER E WITH DOT ABOVE,E dot,Ė,Ė,U+0045,E,,
U+0117,126,145,LATIN SMALL LETTER E WITH DOT ABOVE,e dot,ė,ė,U+0045,E,,
U+0118,126,146,LATIN CAPITAL LETTER E WITH OGONEK,E ogonek,Ę,Ę,U+0045,E,,
U+0119,126,147,LATIN SMALL LETTER E WITH OGONEK,e ogonek,ę,ę,U+0045,E,,
U+011a,126,148,LATIN CAPITAL LETTER E WITH CARON,E caron,Ě,Ě,U+0045,E,,
U+011b,126,149,LATIN SMALL LETTER E WITH CARON,e caron,ě,ě,U+0045,E,,
U+011e,161,168,LATIN CAPITAL LETTER G WITH BREVE,G breve,Ğ,Ğ,U+0047,G,,
U+011f,161,169,LATIN SMALL LETTER G WITH BREVE,g breve,ğ,ğ,U+0047,G,,
U+0127,171,179,LATIN SMALL LETTER H WITH STROKE,h stroke,ħ,ħ,U+0048,H,,
U+012a,181,195,LATIN CAPITAL LETTER I WITH MACRON,I macron,Ī,Ī,U+0049,I,,
U+012b,181,196,LATIN SMALL LETTER I WITH MACRON,i macron,ī,ī,U+0049,I,,
U+012c,181,197,LATIN CAPITAL LETTER I WITH BREVE,I breve,Ĭ,Ĭ,U+0049,I,,
U+012d,181,198,LATIN SMALL LETTER I WITH BREVE,i breve,ĭ,ĭ,U+0049,I,,
U+012e,181,199,LATIN CAPITAL LETTER I WITH OGONEK,I ogonek,Į,Į,U+0049,I,,
U+012f,181,200,LATIN SMALL LETTER I WITH OGONEK,i ogonek,į,į,U+0049,I,,
U+0130,181,201,LATIN CAPITAL LETTER I WITH DOT ABOVE,I dot,İ,İ,U+0049,I,,
U+0131,181,202,LATIN SMALL LETTER DOTLESS I,i dotless,ı,ı,U+0049,I,,
U+0135,205,211,LATIN SMALL LETTER J WITH CIRCUMFLEX,j circumflex,ĵ,ĵ,U+004a,J,,2025-03-19. JM. Added.
U+0137,213,219,LATIN SMALL LETTER K WITH CIRCUMFLEX,k circumflex,ķ,ķ,U+004b,K,,2025-03-19. JM. Added.
U+0139,220,227,LATIN CAPITAL LETTER L WITH ACUTE,L accute,Ĺ,Ĺ,U+004c,L,,
U+013a,220,228,LATIN SMALL LETTER L WITH ACUTE,l accute,ĺ,ĺ,U+004c,L,,
U+013d,220,229,LATIN CAPITAL LETTER L WITH CARON,L apostrophe,Ľ,Ľ,U+004c,L,,
U+013e,220,230,LATIN SMALL LETTER L WITH CARON,l apostrophe,ľ,ľ,U+004c,L,,
U+0141,220,231,LATIN CAPITAL LETTER L WITH STROKE,L stroke,Ł,Ł,U+004c,L,,
U+0142,220,232,LATIN SMALL LETTER L WITH STROKE,l stoke,ł,ł,U+004c,L,,
U+0143,239,247,LATIN CAPITAL LETTER N WITH ACUTE,N accute,Ń,Ń,U+004E,N,,
U+0144,239,248,LATIN SMALL LETTER N WITH ACUTE,n accute,ń,ń,U+004E,N,,
U+0147,239,249,LATIN CAPITAL LETTER N WITH CARON,N caron,Ň,Ň,U+004E,N,,
U+0148,239,250,LATIN SMALL LETTER N WITH CARON,n caron,ň,ň,U+004E,N,,
U+014c,253,272,LATIN CAPITAL LETTER O WITH MACRON,O macron,Ō,Ō,U+004f,O,,
U+014d,253,273,LATIN SMALL LETTER O WITH MACRON,o macron,ō,ō,U+004f,O,,
U+014e,253,274,LATIN CAPITAL LETTER O WITH BREVE,O breve,Ŏ,Ŏ,U+004f,O,,
U+014f,253,275,LATIN SMALL LETTER O WITH BREVE,o breve,ŏ,ŏ,U+004f,O,,
U+0152,253,276,LATIN CAPITAL LIGATURE OE,OE,Œ,Œ,U+004f,O,,
U+0153,253,277,LATIN SMALL LIGATURE OE,oe,œ,œ,U+004f,O,,
U+0154,291,298,LATIN CAPITAL LETTER R WITH ACUTE,R accute,Ŕ,Ŕ,U+0052,R,,
U+0155,291,299,LATIN SMALL LETTER R WITH ACUTE,r accute,ŕ,ŕ,U+0052,R,,
U+0158,291,300,LATIN CAPITAL LETTER R WITH CARON,R caron,Ř,Ř,U+0052,R,,
U+0159,291,301,LATIN SMALL LETTER R WITH CARON,r caron,ř,ř,U+0052,R,,
U+015a,303,309,LATIN CAPITAL LETTER S WITH ACUTE,S accute,Ś,Ś,U+0053,S,,
U+015b,303,310,LATIN SMALL LETTER S WITH ACUTE,s accute,ś,ś,U+0053,S,,
U+015e,303,311,LATIN CAPITAL LETTER S WITH CEDILLA,S cedilla,Ş,Ş,U+0053,S,,
U+015f,303,312,LATIN SMALL LETTER S WITH CEDILLA,s cedilla,ş,ş,U+0053,S,,
U+0160,303,313,LATIN CAPITAL LETTER S WITH CARON,S caron,Š,Š,U+0053,S,,
U+0161,303,314,LATIN SMALL LETTER S WITH CARON,s caron,š,š,U+0053,S,,
U+0162,316,324,LATIN CAPITAL LETTER T WITH CEDILLA,T cedilla,Ţ,Ţ,U+0054,T,,
U+0163,316,325,LATIN SMALL LETTER T WITH CEDILLA,t cedilla,ţ,ţ,U+0054,T,,
U+0164,316,326,LATIN CAPITAL LETTER T WITH CARON,T caron,Ť,Ť,U+0054,T,,
U+0165,316,327,LATIN SMALL LETTER T WITH CARON,t apostrophe,ť,ť,U+0054,T,,
U+0168,330,344,LATIN CAPITAL LETTER U WITH TILDE,U tilde,Ũ,Ũ,U+0055,U,,
U+0169,330,345,LATIN SMALL LETTER U WITH TILDE,u tilde,ũ,ũ,U+0055,U,,
U+016a,330,346,LATIN CAPITAL LETTER U WITH MACRON,U macron,Ū,Ū,U+0055,U,,
U+016b,330,347,LATIN SMALL LETTER U WITH MACRON,u macron,ū,ū,U+0055,U,,
U+016c,330,348,LATIN CAPITAL LETTER U WITH BREVE,U breve,Ŭ,Ŭ,U+0055,U,,
U+016d,330,349,LATIN SMALL LETTER U WITH BREVE,u breve,ŭ,ŭ,U+0055,U,,
U+016e,330,350,LATIN CAPITAL LETTER U WITH RING ABOVE,U ring,Ů,Ů,U+0055,U,,
U+016f,330,351,LATIN SMALL LETTER U WITH RING ABOVE,u ring,ů,ů,U+0055,U,,
U+0172,330,352,LATIN CAPITAL LETTER U WITH OGONEK,U ogonek,Ų,Ų,U+0055,U,,
U+0173,330,353,LATIN SMALL LETTER U WITH OGONEK,u ogonek,ų,ų,U+0055,U,,
U+0174,364,370,LATIN CAPITAL LETTER W WITH CIRCUMFLEX,W circumflex,Ŵ,Ŵ,U+0057,W,,
U+0175,364,371,LATIN SMALL LETTER W WITH CIRCUMFLEX,w circumflex,ŵ,ŵ,U+0057,W,,
U+0176,384,392,LATIN CAPITAL LETTER Y WITH CIRCUMFLEX,Y circumflex,Ŷ,Ŷ,U+0059,Y,,
U+0177,384,393,LATIN SMALL LETTER Y WITH CIRCUMFLEX,y circumflex,ŷ,ŷ,U+0059,Y,,
U+0178,384,394,LATIN CAPITAL LETTER Y WITH DIAERESIS,Y diaresis,Ÿ,Ÿ,U+0059,Y,,
U+0179,399,405,LATIN CAPITAL LETTER Z WITH ACUTE,Z accute,Ź,Ź,U+005a,Z,,
U+017a,399,406,LATIN SMALL LETTER Z WITH ACUTE,z accute,ź,ź,U+005a,Z,,
U+017b,399,407,LATIN CAPITAL LETTER Z WITH DOT ABOVE,Z dot,Ż,Ż,U+005a,Z,,
U+017c,399,408,LATIN SMALL LETTER Z WITH DOT ABOVE,z dot,ż,ż,U+005a,Z,,
U+017d,399,409,LATIN CAPITAL LETTER Z WITH CARON,Zcaron,Ž,Ž,U+005a,Z,,
U+017e,399,410,LATIN SMALL LETTER Z WITH CARON,z caron,ž,ž,U+005a,Z,,
U+017f,66,86,LATIN SMALL LETTER LONG S,A macron,ſ,ſ,U+0041,A,,
U+0232,384,397,LATIN CAPITAL LETTER Y WITH MACRON,y under root,Ȳ,Ȳ,U+0059,Y,,
U+0233,384,396,LATIN SMALL LETTER Y WITH MACRON,y macron,ȳ,ȳ,U+0059,Y,,
U+02b0,171,176,SUPERSCRIPT h,Superscript h,ʰ,ʰ,U+0048,H,,
U+02b3,291,295,SUPERSCRIPT r,Superscript r,ʳ,ʳ,U+0052,R,,
U+02bc,544,549,MODIFIER LETTER APOSTROPHE,Narrow Apostrophe,ʼ,ʼ,U+0027,',,
U+02e3,373,377,SUPERSCRIPT x,Superscript x,ˣ,ˣ,U+0058,X,,
U+0378,373,381,not defined by unicode,x macron,͸,͸,U+0058,X,,
U+0379,373,380,not defined by unicode,x circumflex,͹,͹,U+0058,X,,
U+037f,373,382,GREEK CAPITAL LETTER YOT ,x under root,Ϳ,Ϳ,U+0058,X,,
U+0380,330,354,not defined by unicode,u macron,΀,΀,U+0055,U,,
U+0381,356,362,not defined by unicode,v macron,΁,΁,U+0056,V,,
U+0382,364,372,not defined by unicode,w macron,΂,΂,U+0057,W,,
U+0383,399,413,not defined by unicode,z macron,΃,΃,U+005a,Z,,
U+038b,356,363,not defined by unicode,v circumflex,΋,΋,U+0056,V,,
U+038d,399,414,not defined by unicode,z circumflex,΍,΍,U+005a,Z,,
U+0390,438,443,GREEK SMALL LETTER IOTA WITH DIALYTIKA AND TONOS,iota dialytika tonos,ΐ,ΐ,U+0399,Ι,,
U+0391,415,415,GREEK CAPITAL LETTER ALPHA,ALPHA,Α,Α,U+0391,Α,,
U+0392,419,419,GREEK CAPITAL LETTER BETA,BETA,Β,Β,U+0392,Β,,
U+0393,421,421,GREEK CAPITAL LETTER GAMMA,GAMMA,Γ,Γ,U+0393,Γ,,
U+0394,423,423,GREEK CAPITAL LETTER DELTA,DELTA,Δ,Δ,U+0394,Δ,,
U+0395,426,426,GREEK CAPITAL LETTER EPSILON,EPSILON,Ε,Ε,U+0395,Ε,,
